Name	Color	Rarity	#Seen	ALSA	#Picked	ATA	#GP	GPWR	#OH	OHWR	#GD	GDWR	#GIH	#GND	GNDWR	IWD
W	C	95347	5.91	11561	9.05	26070	53.9%	4589	52.4%	6429	53.2%	11018	52.9%	15060	54.6%	-1.7pp
R	U	26494	4.61	3670	6.64	9090	53.3%	1611	51.4%	2135	54.0%	3746	52.9%	5348	53.6%	-0.8pp
U	M	1989	2.06	614	2.13	2053	51.3%	314	50.6%	600	54.0%	914	52.8%	1140	50.1%	2.8pp
A       C	108987	7.24	13991	10.60	14491	54.3%	2441	51.2%	3660	53.9%	6101	52.8%	8393	55.4%	-2.6pp
R	C	101757	6.74	11722	10.07	20959	54.5%	3442	52.0%	4796	53.4%	8238	52.8%	12722	55.6%	-2.8pp
R	C	92069	5.63	11578	8.38	35295	53.9%	6308	53.7%	7744	52.1%	14052	52.8%	21253	54.6%	-1.8pp
R	C	83094	4.78	10047	7.15	36630	53.6%	6442	52.4%	8170	53.1%	14612	52.8%	22021	54.2%	-1.4pp
G	U	23603	4.06	3183	5.87	10401	52.9%	1697	49.3%	2700	54.9%	4397	52.7%	6007	53.0%	-0.2pp
U	U	31336	5.78	3729	8.69	7002	52.3%	1161	46.9%	1810	56.2%	2971	52.6%	4034	52.2%	0.4pp
U	C	107048	8.08	9701	12.11	6222	50.9%	1008	48.0%	1714	55.2%	2722	52.5%	3502	49.7%	2.8pp
R	R	5531	2.75	1516	3.09	5113	53.4%	824	51.5%	1210	53.0%	2034	52.4%	3079	54.1%	-1.8pp
G	C	96750	6.13	10561	9.28	21658	52.3%	3457	49.1%	5485	54.0%	8942	52.1%	12719	52.5%	-0.4pp
W	C	91238	5.45	11385	8.31	31635	54.2%	5492	52.9%	7589	51.5%	13081	52.1%	18560	55.7%	-3.7pp
U	C	99021	6.56	9809	9.86	20087	51.1%	3438	50.3%	5167	53.2%	8605	52.0%	11488	50.4%	1.6pp
U	C	106890	7.71	9760	11.67	6986	51.8%	1170	49.1%	1926	53.4%	3096	51.8%	3893	51.9%	-0.1pp
U	U	32351	5.06	4201	7.35	10444	51.3%	1757	49.6%	2797	52.7%	4554	51.5%	5895	51.2%	0.3pp
U	C	91592	5.83	9006	8.65	24373	51.8%	4124	48.5%	6764	53.2%	10888	51.4%	13493	52.1%	-0.7pp
U	R	8276	4.07	1607	5.26	2771	50.1%	479	50.3%	778	52.1%	1257	51.4%	1515	48.9%	2.5pp
A       R	9441	4.44	1582	6.14	2554	51.9%	415	51.3%	641	51.3%	1056	51.3%	1500	52.3%	-0.9pp
U	C	106471	7.83	10318	11.58	8305	50.6%	1371	50.8%	2248	51.5%	3619	51.3%	4693	50.1%	1.2pp
R	U	23843	4.03	3418	5.76	12472	52.9%	2147	50.6%	2778	51.7%	4925	51.2%	7547	54.0%	-2.8pp
R	U	25584	4.42	3798	6.25	12388	53.8%	1995	50.4%	2684	51.8%	4679	51.2%	7710	55.4%	-4.2pp
U	C	104926	7.51	10565	11.07	15094	51.1%	2678	49.0%	3748	52.7%	6426	51.1%	8677	51.1%	0.0pp
G	C	103316	7.04	14286	9.90	27318	53.4%	4863	50.1%	6927	51.8%	11790	51.1%	15533	55.2%	-4.1pp
U	C	110751	8.64	12234	12.32	6678	51.1%	1153	49.8%	1747	52.0%	2900	51.1%	3782	51.0%	0.1pp
W	U	30561	5.43	3826	8.36	7583	54.5%	1375	51.4%	1897	50.8%	3272	51.1%	4312	57.0%	-6.0pp
U	U	35963	7.22	4583	10.45	2259	49.2%	353	50.1%	658	51.5%	1011	51.0%	1249	47.8%	3.2pp
B	C	105585	7.33	12782	10.75	13960	53.3%	2414	49.5%	3359	52.1%	5773	51.0%	8193	54.9%	-3.9pp
B	C	105160	7.43	11134	11.31	6545	52.9%	1109	48.1%	1628	52.9%	2737	50.9%	3809	54.4%	-3.4pp
B	U	27926	4.88	2931	7.64	6596	53.1%	1040	48.5%	1635	52.4%	2675	50.9%	3921	54.7%	-3.8pp
U	C	106200	7.79	11413	11.26	14842	51.4%	2546	51.5%	3739	50.4%	6285	50.8%	8563	51.8%	-1.0pp
U	R	6268	3.14	1571	3.71	4423	51.5%	723	48.4%	1269	52.2%	1992	50.8%	2433	52.1%	-1.3pp
A       C	102113	6.37	12603	9.46	22504	51.8%	4064	50.0%	5622	51.2%	9686	50.7%	12822	52.7%	-2.0pp
A       C	108524	7.67	10778	11.51	5636	53.6%	904	46.8%	1308	53.4%	2212	50.7%	3428	55.4%	-4.7pp
U	U	29554	4.63	3966	6.67	9969	51.0%	1662	45.2%	2658	53.6%	4320	50.3%	5652	51.5%	-1.2pp
A       U	33786	5.87	3470	9.18	4620	51.9%	755	46.0%	1206	52.9%	1961	50.2%	2659	53.1%	-2.9pp
R	C	105566	7.23	12690	10.56	16757	53.9%	2669	48.3%	3661	51.5%	6330	50.2%	10427	56.2%	-6.1pp
G	R	8494	4.19	1029	6.24	1435	48.7%	236	43.2%	343	54.5%	579	49.9%	856	47.9%	2.0pp
B	U	33600	6.34	4041	9.54	4192	52.6%	730	49.2%	1008	49.8%	1738	49.5%	2454	54.7%	-5.2pp
U	U	33485	6.57	3259	10.20	2286	48.8%	393	46.8%	569	51.3%	962	49.5%	1324	48.3%	1.1pp
U	U	33315	6.60	3431	10.05	3589	49.4%	654	48.2%	858	50.0%	1512	49.2%	2080	49.5%	-0.3pp
A       U	36645	7.04	4139	10.47	2579	50.3%	451	47.5%	633	50.2%	1084	49.1%	1496	51.1%	-2.0pp
U	U	35674	7.21	3679	11.11	1573	49.0%	264	44.3%	425	51.3%	689	48.6%	885	49.3%	-0.6pp
U	U	29286	5.57	2900	8.59	5167	48.9%	903	48.4%	1313	48.7%	2216	48.6%	2951	49.2%	-0.6pp
R	U	31515	5.90	3259	9.06	4385	50.5%	760	49.5%	1000	47.9%	1760	48.6%	2625	51.7%	-3.2pp
W	M	1865	1.89	846	1.85	3276	52.6%	553	45.6%	824	50.5%	1377	48.5%	1900	55.5%	-7.0pp
W	C	108634	8.08	12227	11.82	5191	53.8%	871	47.9%	1154	48.4%	2025	48.2%	3168	57.3%	-9.1pp
W	R	7711	3.67	1345	4.89	2703	51.7%	423	44.4%	711	50.2%	1134	48.1%	1571	54.2%	-6.2pp
R	C	108273	7.84	11220	11.75	4186	51.1%	703	45.7%	965	48.7%	1668	47.4%	2518	53.5%	-6.0pp
G	R	9660	4.60	1180	7.28	888	47.5%	136		225	48.9%	361	47.4%	527	47.6%	-0.3pp
U	R	9251	4.51	1333	6.56	1256	47.3%	206	40.8%	332	50.9%	538	47.0%	718	47.5%	-0.5pp
A       U	33222	5.95	3631	9.06	3673	48.7%	656	45.7%	967	46.0%	1623	45.9%	2051	50.9%	-5.0pp
B	U	34048	6.69	4018	10.11	2779	48.9%	468	43.6%	677	46.8%	1145	45.5%	1634	51.3%	-5.8pp
U	R	7879	3.95	1092	5.56	1153	46.6%	185		313	47.6%	498	45.2%	656	47.7%	-2.5pp
UR	R	8659	4.29	1346	6.00	1551	46.7%	252	45.2%	392	44.9%	644	45.0%	908	47.9%	-2.9pp
A       R	11123	5.10	1625	7.56	931	45.5%	164		223	36.8%	387	35.9%	544	52.4%	-16.5pp
A       R	11666	5.38	1456	8.45	379		63		100		163		216	45.4%	
WRG	R	10368	5.00	1378	7.63	69		14		14		28		41		
R	M	4632	4.34	667	6.55	204		32		42		74		130		
R	R	12416	5.75	1636	8.91	65		8		16		24		41		
